# Tutus profili yedegi — 2026-08-05 12:24:42
# bicim: ad|posX,posY,posZ|eulerX,eulerY,eulerZ   (ondalik NOKTA)
Dmr1_GripProfile|0.0079,0.1204,0.3254|304.9518,215.6471,338.6156
Grenade 1_GripProfile|0.037,0.0581,-0.0661|304.2289,69.95349,330.1151
Grenade 2_GripProfile|-0.0643,0.0757,-0.0524|316.7727,174.7381,314.1065
Grenade 3_GripProfile|-0.0701,0.0788,0.0645|321.0675,248.0856,329.5024
HK416_GripProfile|0.02483529,0.01505761,0.01884263|296.5371,287.9833,1.873233
NetworkPlayer_GripProfile|0,0,0|57.3028,58.11551,-3.160958E-06
Paintball_GripProfile|-0.02,-0.06,0|303.6232,122.7817,342.0831
Pistol 2_GripProfile|-0.04898438,0.07223814,0.1284564|302.6097,206.1595,349.6317
Pistol3_GripProfile|-0.0485,0.0768,0.1157|306.1273,217.8507,335.9078
Pistol4_GripProfile|-0.0493,0.0967,0.138|301.3445,206.4971,349.5288
Pistol_GripProfile|-0.0278,0.0844,-0.0059|304.48,214.6805,339.7915
Rifle 2_GripProfile|-0.1387,0.1542,0.1179|309.9507,223.5314,328.7026
Rifle1_GripProfile|-0.0525,0.1487,0.2366|302.5695,210.1401,345.2359
Rifle3_GripProfile|-0.0364,0.1055,0.1505|310.0967,223.7138,328.4644
Shotgun 2_GripProfile|-0.0502,0.0774,0.2188|309.5644,223.0384,329.344
Shotgun1_GripProfile|1.1269E-07,0.1390429,-0.2595748|305.5807,216.8597,337.1305
Smg 3_GripProfile|-0.0562,0.0811,0.1558|308.1529,221.0974,331.8362
Smg1_GripProfile|0.1205,0.0915,-0.1315|302.9297,31.08665,344.1105
Smg2_GripProfile|-0.03806056,0.07960925,0.01129663|302.2844,204.3108,349.5192
Sniper1_GripProfile|-0.0593,0.1405,0.3329|307.9208,220.7553,332.2705
